Company,Project,Donation Date,Donor First Name,Donor Last Name,Email,Address,City,State/Province,Postal Code,Activity,Comment,Transaction ID,Donation Frequency,Currency,Project Remote ID,Source,Reason,Total Donation to be Acknowledged,Match Amount,Cause Support Fee,Merchant Fee,Fee Comment
Microsoft,iMentor,2024-10-16T15:15:23Z,Empire,State,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,95131,,,11,Recurring,USD,,Payroll,User Donation,35,35,0,0,
"AVANGRID, Inc.",iMentor Chicago,2024-10-16T19:35:21Z,Rain,Spring,raquel.mercado@avangrid.com,Not shared by donor,Not shared by donor,Not shared by donor,6473,,,12,Recurring,USD,385094605a5b171c962,Payroll,User Donation,20,10,0.87,0,
IBM,iMentor,2024-10-17T19:29:06Z,Snow,Winter,H.Frey@ibm.com,Not shared by donor,Not shared by donor,Not shared by donor,11201,,"Thank you for all you do for NYC first generation college students! 
 <3 Hannah & IBM",13,One Time,USD,,My Rewards,User Donation,"1,000.00",0,0,0,
Morgan Stanley,iMentor,2024-10-17T19:42:26Z,Sunshine,Johnson,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,8816,,,14,Recurring,USD,,Payroll,User Donation,25,0,0,0,
Empower Retirement LLC,iMentor Chicago,2024-10-18T15:14:45Z,Thomas,Adams,Thomas.Lockwood@empower.com,Not shared by donor,Not shared by donor,Not shared by donor,80108,,,15,Recurring,USD,385094605a5b171c962,Payroll,User Donation,15,15,0.88,0,
Benevity Community Impact Fund,iMentor,2024-10-23T16:43:58Z,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,,Fee Reimbursement,16,Unspecified,USD,,Corporate Direct Donation,Corporate Donation,42.75,0,0,0,
Morgan Stanley,iMentor,2024-10-23T19:49:34Z,Abigail,Funny,Andrew.Lunney@morganstanley.com,Not shared by donor,Not shared by donor,Not shared by donor,94110,,,17,One Time,USD,,My Rewards,User Donation,50,0,0,0,
Microsoft,iMentor,2024-10-25T15:40:06Z,Mary,Poppins,MGRUEIRO@microsoft.com,Not shared by donor,Not shared by donor,Not shared by donor,10028,Volunteering,(4) 30 min weekly check ins = 2 hrs,18,One Time,USD,,Volunteer,Match,50,0,0,0,
Davis Polk,iMentor,2024-10-27T21:00:59Z,Donald,Duck,caitlin.grunberger@davispolk.com,Not shared by donor,Not shared by donor,Not shared by donor,11101,,,19,One Time,USD,,My Rewards,User Donation,50,0,1.45,0,
Google,iMentor,2024-10-28T16:32:42Z,Mickey,Mouse,thomasvs@google.com,"387 Grand St, Apt K1507",New York,NY,10002,,,20,One Time,USD,,Payroll,User Donation,500,500,0,0,
BMO Financial Group,iMentor Chicago,2024-10-28T19:22:28Z,CHRIS,PENCIL,Christian1.Navarro@bmo.com,Not shared by donor,Not shared by donor,Not shared by donor,60610,,,21,Recurring,USD,385094605a5b171c962,Payroll,User Donation,28.85,0,0,0,
BMO Financial Group,iMentor Chicago,2024-10-28T19:28:57Z,Daffy,Duck,Shelley.Johnsen@bmo.com,Not shared by donor,Not shared by donor,Not shared by donor,60622,,,22,Recurring,USD,385094605a5b171c962,Payroll,User Donation,100,0,0,0,
BMO Financial Group,iMentor Chicago,2024-10-28T19:32:30Z,Bugs,Bunny,scott.krynski@bmo.com,Not shared by donor,Not shared by donor,Not shared by donor,60657,,,23,Recurring,USD,385094605a5b171c962,Payroll,User Donation,28.85,0,0,0,
"AVANGRID, Inc.",iMentor Chicago,2024-10-29T17:10:37Z,Rain,Spring,raquel.mercado@avangrid.com,Not shared by donor,Not shared by donor,Not shared by donor,6473,,,24,Recurring,USD,385094605a5b171c962,Payroll,User Donation,20,10,0.87,0,
Microsoft,iMentor,2024-10-30T13:30:19Z,Mary,Poppins,MGRUEIRO@microsoft.com,Not shared by donor,Not shared by donor,Not shared by donor,10028,Volunteering,"(15) 30 min weekly check ins = 7.5 hrs
(1) 7 hour bring your mentee to work day = 8 hrs",25,One Time,USD,,Volunteer,Match,362.5,0,0,0,
Microsoft,iMentor,2024-10-30T13:36:28Z,Mary,Poppins,MGRUEIRO@microsoft.com,Not shared by donor,Not shared by donor,Not shared by donor,10028,Volunteering,"My mentee is so inspiring! 

(2) 2 hr campus tours = 4 hrs
(1) 1 hr training = 1 hr
(3) 30 min check ins = 1.5 hours
(1) 1.5 hr monthly event = 1.5 hrs",26,One Time,USD,,Volunteer,Match,200,0,0,0,
Salesforce,iMentor Chicago,2024-10-30T19:06:42Z,Bugs,Bunny,john.chung@salesforce.com,Not shared by donor,Not shared by donor,Not shared by donor,60647,,,27,Unspecified,USD,385094605a5b171c962,Donation,Match,0,50,0,0,
Microsoft,iMentor,2024-10-31T15:10:42Z,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,95131,,,28,Recurring,USD,,Payroll,User Donation,35,35,0,0,
Microsoft,iMentor,2024-10-31T17:48:54Z,Mickey,Mouse,NPATHMANABAN@microsoft.com,Not shared by donor,Not shared by donor,Not shared by donor,10282,,,29,One Time,USD,,Payroll,User Donation,25,25,0,0,
Totals,,,,,,,,,,,,,,,,,,"2,990.65",725,6.71,0,
Total Donations (Gross),"3,715.65",,,,,,,,,,,,,,,,,,,,,
Check Fee,0,,,,,,,,,,,,,,,,,,,,,
Net Total Payment,"3,708.94",,,,,,,,,,,,,,,,,,,,,
